codcnh,nombre,latitude,longitude,municipios,codprov,provincias,ncamas,finalidad_asisitencial,cerrado
10035,RED DE SALUD MENTAL DE ARABA (HOSPITAL PSIQUIÁTRICO DE ARABA),42.8361152,-2.678953,Vitoria-Gasteiz,1,ÁLAVA,207,PSIQUIÁTRICO,N
10040,HOSPITAL SAN JOSÉ,42.84968920000001,-2.6766447999999996,Vitoria-Gasteiz,1,ÁLAVA,63,MÉDICO-QUIRÚRGICO,N
10053,HOSPITAL QUIRÓNSALUD VITORIA,42.8497554,-2.6682745999999997,Vitoria-Gasteiz,1,ÁLAVA,26,GENERAL,N
10066,"HOSPITAL DE CUIDADOS SAN ONOFRE, S.L. (HOSPITAL DE CUIDADOS SAN ONOFRE)",42.8433062,-2.6829027,Vitoria-Gasteiz,1,ÁLAVA,82,GERIATRÍA Y/O LARGA ESTANCIA,N
10088,HOSPITAL DE LEZA,42.5582437601974,-2.5870005000000003,Laguardia,1,ÁLAVA,63,GENERAL,N
10090,HOSPITAL UNIVERSITARIO DE ARABA (SEDE TXAGORRITXU Y SEDE SANTIAGO),42.855074750156206,-2.68858650039815,Vitoria-Gasteiz,1,ÁLAVA,811,GENERAL,N
20019,COMPLEJO HOSPITALARIO UNIVERSITARIO DE ALBACETE,38.9947778,-1.8728752,Albacete,2,ALBACETE,705,GENERAL,N
20030,HOSPITAL GENERAL UNIVERSITARIO DE ALBACETE,38.9947778,-1.8728752,Albacete,2,ALBACETE,0,GENERAL,N
20061,CLÍNICA SANTA CRISTINA ALBACETE,38.989732700000005,-1.8577539,Albacete,2,ALBACETE,42,GENERAL,N
20096,HOSPITAL DE HELLÍN,40.366225435986564,-3.5419931021476927,Hellín,2,ALBACETE,135,GENERAL,N
20100,QUIRONSALUD HOSPITAL ALBACETE,38.9854336,-1.8440492,Albacete,2,ALBACETE,65,GENERAL,N
20117,HOSPITAL UNIVERSITARIO NUESTRA SEÑORA DEL PERPETUO SOCORRO,38.9904149500036,-1.8717705999831102,Albacete,2,ALBACETE,0,GENERAL,N
20136,HOSPITAL GENERAL DE ALMANSA,38.8653577122274,-1.0879057821420501,Almansa,2,ALBACETE,93,GENERAL,N
20147,HOSPITAL GENERAL DE VILLAROBLEDO,39.263124855865705,-2.59089275415665,Villarrobledo,2,ALBACETE,114,GENERAL,N
20158,"CENTRO DE ATENCIÓN A LA SALUD MENTAL ""LA MILAGROSA""",39.009791153093296,-1.8675389919353,Albacete,2,ALBACETE,0,PSIQUIÁTRICO,N
30015,HOSPITAL GENERAL UNIVERSITARIO DE ALICANTE,38.362671850018295,-0.487416550020361,Alicante/Alacant,3,ALICANTE,794,GENERAL,N
30036,CLÍNICA VISTAHERMOSA GRUPO HLA,38.374187749994796,-0.455990193633404,Alicante/Alacant,3,ALICANTE,106,GENERAL,N
30041,VITHAS HOSPITAL PERPETUO INTERNACIONAL,38.353394300770795,-0.476833047892997,Alicante/Alacant,3,ALICANTE,103,GENERAL,N
30067,HOSPITAL VIRGEN DE LOS LIRIOS,38.71583938598633,-0.4723039865493774,Alcoy/Alcoi,3,ALICANTE,305,GENERAL,N
30089,SANATORIO SAN JORGE S.L.,38.6929589,-0.48606009999999994,Alcoy/Alcoi,3,ALICANTE,26,GENERAL,N
30092,HOSPITAL CLÍNICA BENIDORM,38.5439673330566,-0.13018126035401198,Benidorm,3,ALICANTE,166,GENERAL,N
30128,HOSPITAL SAN CARLOS DE DENIA GRUPO HLA,38.8364090875386,0.08569351092097126,Dénia,3,ALICANTE,31,GENERAL,N
30152,HOSPITAL GENERAL UNIVERSITARIO DE ELCHE,38.2596554,-0.6851588000000001,Elche/Elx,3,ALICANTE,492,GENERAL,N
30165,HOSPITAL GENERAL UNIVERSITARIO DE ELDA-VIRGEN DE LA SALUD,38.48579177114,-0.8005462311465241,Elda,3,ALICANTE,513,GENERAL,N
30187,HOSPITAL SANT VICENT DEL RASPEIG,38.40495721456168,-0.5300609158888444,San Vicente del Raspeig/Sant Vicent del Raspeig,3,ALICANTE,179,GERIATRÍA Y/O LARGA ESTANCIA,N
30190,SANATORIO SAN FRANCISCO DE BORJA FONTILLES,38.77568435668945,-0.129612997174263,"Vall de Laguar, la",3,ALICANTE,96,GERIATRÍA Y/O LARGA ESTANCIA,N
30204,HOSPITAL MARINA BAIXA DE LA VILA JOIOSA,38.524026977413705,-0.19779025228500602,"Villajoyosa/Vila Joiosa, la",3,ALICANTE,286,GENERAL,N
30211,HOSPITAL VEGA BAJA DE ORIHUELA,38.089504929774705,-0.8601685846273119,Orihuela,3,ALICANTE,361,GENERAL,N
30226,"HOSPITAL INTERNACIONAL MEDIMAR, S.A.",38.352068200000005,-0.4733522,Alicante/Alacant,3,ALICANTE,66,GENERAL,N
30232,HOSPITAL PSIQUIÁTRICO PENITENCIARIO DE FONTCALENT,38.348466512238396,-0.5587185372461629,Alicante/Alacant,3,ALICANTE,432,PSIQUIÁTRICO,N
